Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	12:21:36	12:21:36	12:21:36			12:21:36	12:21:36	12:21:36	12:21:36	12:21:36	12:21:36	12:21:36	12:21:37	12:21:37	12:21:37	12:21:37	12:21:37	12:21:37			12:21:39	12:21:39		00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:02	00:00:02
1	12:21:39	12:21:39	12:21:39	12:21:39	12:21:39	12:21:39	12:21:39	12:21:39	12:21:39	12:21:39	12:21:39	12:21:39	12:21:40	12:21:40	12:21:40	12:21:40	12:21:40	12:21:40			12:21:40	12:21:40		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
2	12:21:41	12:21:41	12:21:41	12:21:41	12:21:41	12:21:41			12:21:41	12:21:41	12:21:41	12:21:41	12:21:41	12:21:41	12:21:41	12:21:41	12:21:41	12:21:41			12:21:41	12:21:41		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
3	12:21:41	12:21:41	12:21:41	12:21:41	12:21:41	12:21:41			12:21:41	12:21:41	12:21:41	12:21:41	12:21:42	12:21:42	12:21:42	12:21:42	12:21:42	12:21:42			12:21:42	12:21:42		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
4	12:21:42	12:21:42	12:21:42	12:21:42	12:21:42	12:21:42			12:21:42	12:21:42	12:21:42	12:21:42	12:21:42	12:21:42	12:21:42	12:21:42	12:21:42	12:21:42			12:21:42	12:21:42		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
5	12:21:42	12:21:42	12:21:42	12:21:42	12:21:42	12:21:42			12:21:42	12:21:42	12:21:42	12:21:42	12:21:43	12:21:43	12:21:43	12:21:43	12:21:43	12:21:43			12:21:43	12:21:43		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
6	12:21:43	12:21:43	12:21:43	12:21:43	12:21:43	12:21:43			12:21:43	12:21:43	12:21:43	12:21:43	12:21:43	12:21:43	12:21:43	12:21:43	12:21:43	12:21:43			12:21:44	12:21:44		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
7	12:21:44	12:21:44	12:21:44	12:21:44	12:21:44	12:21:44			12:21:44	12:21:44	12:21:44	12:21:44	12:21:44	12:21:44	12:21:44	12:21:44	12:21:44	12:21:44			12:21:44	12:21:44		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
8	12:21:44	12:21:44	12:21:44	12:21:44	12:21:44	12:21:44			12:21:44	12:21:44	12:21:44	12:21:44	12:21:45	12:21:45	12:21:45	12:21:45	12:21:45	12:21:45			12:21:45	12:21:45		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
9	12:21:45	12:21:45	12:21:45	12:21:45	12:21:45	12:21:45			12:21:45	12:21:45	12:21:45	12:21:45	12:21:45	12:21:45	12:21:45	12:21:45	12:21:45	12:21:45			12:21:45	12:21:45		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
10	12:21:45	12:21:45	12:21:45	12:21:45	12:21:45	12:21:45	12:21:45	12:21:45	12:21:45	12:21:45	12:21:45	12:21:45	12:21:46	12:21:46	12:21:46	12:21:46	12:21:46	12:21:46	12:21:46	12:21:46	12:21:46	12:21:46		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00
